Instance,Income
111994,36008.81956432604
111995,20740.73655012662
111996,31549.7128117322
111997,95778.67197622746
111998,23183.077975549186
111999,101058.0839758052
112000,102517.87582223768
112001,57479.76684610605
112002,37475.491402994805
112003,105861.72424264088
112004,13918.315407768776
112005,189674.1598306186
112006,28693.433474163863
112007,102470.28963760046
112008,254631.5472990221
112009,80077.9953438673
112010,46152.15713526995
112011,26012.48058500227
112012,16176.727192691607
112013,17584.20889514249
112014,133942.93862666303
112015,51454.05472236501
112016,41063.96623800981
112017,32137.80444992029
112018,148222.75297467058
112019,53082.17454078017
112020,39643.44233142662
112021,29843.107165624464
112022,101043.60653417016
112023,66167.93857450469
112024,28992.835365149742
112025,84854.56510712653
112026,43291.641223664024
112027,68556.71696420117
112028,35970.783469002374
112029,47139.0703147951
112030,183932.37783102592
112031,213633.13670254574
112032,270652.1605377763
112033,94392.6467694163
112034,158973.89268794216
112035,98977.95472963976
112036,183555.32613712165
112037,145799.34885243964
112038,189244.47054469894
112039,43742.86775645277
112040,69171.01175860375
112041,72130.29000023038
112042,44035.72735811259
112043,75753.53722906279
112044,41755.942329397105
112045,26304.003747169892
112046,263322.6455743029
112047,28186.777550110593
112048,22582.91419053512
112049,95404.66621789976
112050,46698.423392476885
112051,77795.7285176104
112052,126081.66762891783
112053,199610.63447753884
112054,98165.49570513584
112055,30223.85335705283
112056,104647.405837328
112057,25445.238819963757
112058,53079.871655825875
112059,36985.97880664731
112060,286555.4269136347
112061,128999.76630787709
112062,225112.52839451886
112063,67068.37456776113
112064,18299.830890348043
112065,49235.22486242249
112066,9376.429336161938
112067,115802.1549567508
112068,75553.79897379478
112069,285224.46770957485
112070,336767.5821676111
112071,47232.80441809583
112072,81393.75550667255
112073,40125.48380199349
112074,28453.22664403249
112075,13653.23023538127
112076,136278.3247643276
112077,1071945.047956702
112078,11818.652513853967
112079,166008.71092167505
112080,85699.35041443148
112081,958273.739283402
112082,41579.37468242067
112083,33962.74656501893
112084,19668.84325606188
112085,42592.80164971955
112086,34534.611974745734
112087,72294.35223809259
112088,133076.27765247034
112089,43386.322952659575
112090,185870.15086506456
112091,45122.62121747593
112092,38018.689767051954
112093,93494.26905931337
112094,34277.61055805811
112095,41361.651583191226
112096,85277.68008770836
112097,21359.23558761753
112098,34263.234190403506
112099,35116.5986345304
112100,39486.9872504789
112101,198934.54444776184
112102,29790.123701766708
112103,144037.92908115537
112104,73940.22355460977
112105,59162.96215231298
112106,97623.71138509767
112107,110657.72246458793
112108,59922.81571240911
112109,38510.79964027736
112110,52119.630517681755
112111,32772.04421059935
112112,65024.81253997293
112113,75074.72542971585
112114,76741.15590628292
112115,19217.389909821708
112116,44789.74854421038
112117,77641.75150522553
112118,27724.547178098786
112119,38793.72463130518
112120,514695.74719711835
112121,131713.02333058076
112122,493071.5213685725
112123,212446.01684343952
112124,46601.466558066204
112125,184577.63362017542
112126,168675.7611774046
112127,20375.490433248266
112128,44934.419593950995
112129,114818.63336235167
112130,94260.32089992397
112131,27389.448695956824
112132,84481.50970133342
112133,231862.86565987108
112134,19732.457287362482
112135,18359.978196953423
112136,58978.56697932948
112137,15542.273502911985
112138,30846.46356465879
112139,56150.64131803753
112140,42613.300909307945
112141,43128.56199702407
112142,62152.013711859145
112143,198487.82364467534
112144,31400.718769148098
112145,33689.376622019015
112146,47465.16007822288
112147,248120.9670484311
112148,56782.960331804716
112149,58122.48959759077
112150,6241.621104052838
112151,344811.4804852884
112152,74453.06968073266
112153,65012.35523060106
112154,37147.04237296653
112155,102449.05711480632
112156,81136.48127437032
112157,93675.34843017346
112158,42883.4904381177
112159,278482.5780163563
112160,58507.33512076989
112161,151383.9137068251
112162,72374.06701901075
112163,12713.670444147998
112164,30551.89575981609
112165,134059.94339271542
112166,61154.49384489378
112167,19504.336400273187
112168,57808.810321045064
112169,282078.41803856235
112170,242108.29953318654
112171,53978.86905163965
112172,24620.777687832873
112173,125008.56069659964
112174,40205.55718812383
112175,34639.96154815947
112176,29949.971569379322
112177,96329.64455153713
112178,21535.816081328067
112179,31494.514865521065
112180,38508.658948666765
112181,13609.776649414705
112182,258486.98194758236
112183,101555.65863461506
112184,27858.16940358001
112185,266992.7976677309
112186,10985.91305173562
112187,126324.52078022828
112188,124611.68257180422
112189,43804.5839462876
112190,32980.46466312448
112191,91934.2799421395
112192,209093.747194514
112193,36139.19155816404
112194,164556.53690410423
112195,45929.97242986453
112196,26613.06388416966
112197,207549.36838373187
112198,24410.577911454606
112199,40756.28411722532
112200,53853.980692861995
112201,283167.3086574327
112202,121863.87207315315
112203,38535.811059300984
112204,48896.497072220904
112205,10318.538526757638
112206,111853.16030736915
112207,269355.2625203582
112208,67666.40149868077
112209,432327.6336445028
112210,57892.350099579126
112211,240063.00306151158
112212,62430.722532886946
112213,17515.150475198738
112214,209109.04425224965
112215,37575.246743328
112216,117791.29883520558
112217,36745.88992818964
112218,47936.85633707865
112219,424993.6654150682
112220,29693.1079099939
112221,6725.484808587054
112222,37774.613783082474
112223,58864.851957672574
112224,117031.40838691445
112225,20441.28941803987
112226,61681.512093655394
112227,55960.43951231788
112228,101201.97204006699
112229,56658.94344148406
112230,197093.9468910689
112231,21066.130931832562
112232,147027.08680333348
112233,38449.60076003324
112234,43637.36670261016
112235,22328.009116584777
112236,88473.43352436865
112237,317549.9689401152
112238,46016.08428520178
112239,19580.677178779453
112240,17312.699186636743
112241,23364.62551608478
112242,48740.090501652514
112243,62625.07013739326
112244,166737.66970940016
112245,100773.82700309284
112246,33666.18285135678
112247,434417.06023065065
112248,97623.71623365414
112249,17561.970021013934
112250,47117.94674391207
112251,51533.98276254068
112252,63597.51039988812
112253,29870.084418780196
112254,297358.2434894239
112255,38075.82998652571
112256,32454.406355964064
112257,31701.887394999467
112258,528374.6260709792
112259,169182.8212147098
112260,144287.67413714368
112261,335049.1374697591
112262,96410.9932105564
112263,37204.27125238561
112264,78502.88655213367
112265,12527.004746111412
112266,42231.10116505135
112267,57320.04231542456
112268,50019.58821303353
112269,352344.12188669154
112270,19443.564107988666
112271,81665.6999908541
112272,88816.08508446811
112273,119872.25597337459
112274,5437.899206644119
112275,179013.43917449872
112276,195543.68554191358
112277,63296.372417765386
112278,30363.082079662785
112279,20591.021951489995
112280,127047.54698697443
112281,63438.72946216998
112282,196511.78256925283
112283,110077.99244988066
112284,76284.02969947731
112285,74212.38359526408
112286,44192.293596653326
112287,35784.75443136919
112288,90000.91078124
112289,272558.78956844757
112290,196623.61683174895
112291,29000.443364731316
112292,625052.6028525312
112293,31077.82844858502
112294,320439.2653114612
112295,25624.00427474878
112296,246935.80761677152
112297,69472.09009344384
112298,59185.2367751738
112299,44409.00218833474
112300,16836.59025097345
112301,37910.898654264754
112302,19913.091630697163
112303,33510.29829264203
112304,174241.21249068776
112305,28321.101688107898
112306,58288.720279320216
112307,44052.52522618507
112308,106345.56105075663
112309,59662.64835072827
112310,37886.723179295455
112311,92629.9577250779
112312,47475.28368627264
112313,127714.67096721745
112314,25169.048489948622
112315,202487.42200325517
112316,40905.917876335814
112317,21487.79500840941
112318,27059.24993499373
112319,29447.176572564287
112320,914035.2090233928
112321,43030.53365368372
112322,21026.75432570036
112323,100458.60166010508
112324,409200.5228139393
112325,218153.3613102969
112326,117005.20607709684
112327,151449.0264233265
112328,119104.40610142206
112329,126570.09859338433
112330,298830.382945367
112331,360077.7066666868
112332,134314.72702314268
112333,314627.8468225707
112334,198730.35861922498
112335,59186.01820026055
112336,36365.46753407581
112337,270226.7883061065
112338,337065.58222482906
112339,260048.1173981008
112340,50691.77808638489
112341,1023636.2351089573
112342,18689.440942618363
112343,59926.18338986412
112344,30726.82651607584
112345,39090.20261731101
112346,71781.63826668581
112347,19629.740069110077
112348,26288.2366343748
112349,20750.837103486745
112350,105698.1261528178
112351,40272.008038480264
112352,46300.456410277264
112353,-2040.9164472388659
112354,126779.4925420579
112355,57490.38069112563
112356,61046.636857234276
112357,70538.51461536613
112358,90620.92162678343
112359,42339.1731315194
112360,22361.781094964943
112361,153887.85820289023
112362,62842.966149173655
112363,46755.552164324225
112364,15609.864372813649
112365,6795.188605758361
112366,23068.13909130067
112367,25834.13798784639
112368,52493.949478834256
112369,174878.4952703996
112370,35177.64107484696
112371,405237.4161433436
112372,95311.31176661048
112373,57150.029791031164
112374,18205.308146208896
112375,30950.760096358077
112376,105500.49874224918
112377,116135.12771040107
112378,60301.07275787785
112379,108164.5709838473
112380,71319.36104437317
112381,66678.65224553946
112382,98015.41708570864
112383,24302.54781910759
112384,209466.14370836
112385,13599.878527883382
112386,165835.38919113285
112387,60060.67170028622
112388,40466.58730776084
112389,27617.841469277544
112390,18118.71918815136
112391,14934.76882270748
112392,123637.21727313065
112393,49584.76490718781
112394,62642.22179701854
112395,7475.3288104324965
112396,125406.98532286941
112397,50097.011935883216
112398,351379.2587555079
112399,85660.72165758167
112400,71412.44141910455
112401,101843.81366788923
112402,890874.1048358122
112403,135331.1991412718
112404,116121.91371751764
112405,59564.82911535964
112406,33237.40305329447
112407,14576.839459906842
112408,15775.361703799164
112409,56682.07927060993
112410,24052.348853705826
112411,141714.8954273861
112412,114266.65423450552
112413,28768.195986817773
112414,80897.61598620302
112415,151806.13999895824
112416,79388.26601158445
112417,106035.5740625255
112418,57774.54634559846
112419,208650.67505362342
112420,54330.58986196048
112421,223133.27784386012
112422,111419.8004562752
112423,44234.299831351214
112424,3361.8777803732096
112425,37475.33383296936
112426,90904.9825044913
112427,301743.4684320871
112428,150841.1818468441
112429,12659.731300892672
112430,27585.620100750497
112431,148353.2795030278
112432,38297.18287091407
112433,69225.92531403918
112434,31620.737776140908
112435,77537.66006248385
112436,41910.12787566588
112437,67530.82361865343
112438,114338.01724817613
112439,19387.194265568593
112440,274776.1006346441
112441,51465.81094325195
112442,351073.23399651377
112443,48453.10592191487
112444,25713.02871353286
112445,73000.92066307472
112446,471472.6920186448
112447,759553.9334574892
112448,66227.5862365964
112449,82635.7906670983
112450,36234.02226110984
112451,136172.66622890718
112452,9829.518647795847
112453,39107.98492304894
112454,108649.14854914465
112455,678009.0173913267
112456,54666.97236268635
112457,198911.5589702857
112458,119683.83970903498
112459,40891.175623269875
112460,50605.52463902192
112461,453486.1297025146
112462,77153.94585283883
112463,53383.57511326297
112464,59867.8280640307
112465,143526.8285189126
112466,173996.40991181228
112467,45885.811927116476
112468,39531.53572466988
112469,66284.72051926503
112470,32181.098734874617
112471,60485.73092878747
112472,177319.84726743877
112473,91177.13542226574
112474,5961.620121134705
112475,93214.40639041734
112476,98039.11685689079
112477,35745.15968436351
112478,70629.33545325302
112479,17555.807303698402
112480,56287.26512869205
112481,142595.49971397323
112482,51719.261394754525
112483,298572.3477330511
112484,51823.8470870844
112485,88081.84660710485
112486,21737.62816523133
112487,25175.48287748313
112488,140680.72912072728
112489,45006.67516661635
112490,307867.1260058192
